status,reported,description,address,type,occurred
CLOSED,2019-09-05 16:46:00+00:00,Officers dispatched to a report of suspicious activity. Officers arrived and reported all was in order.,TOSTESON MEC 260 LONGWOOD AVE BOSTON,SUSPICIOUS ACTIVITY,9/5/19 4:46 PM
OPEN,2019-06-17 23:03:00+00:00,Officer dispatched to take a report of a stolen package containing a Ferrari brand pen.,TERRY TERRACE - 15 EVERETT 15 EVERETT ST CAMBRIDGE,THEFT REPORT,6/8/19 - 8:00 AM 6/17/19 - 11:00 PM
CLOSED,2019-06-26 12:38:00+00:00,"Officers dispatched to a report of a drone being operated in the area. Officers arrived, located the operators, and       
reported that they received the necessary permission to operate the drone.",ATHLETICS - OHIRI FIELD 82 N HARVARD ST ALLSTON,SUSPICIOUS ACTIVITY,"6/26/19
12:38 PM"
OPEN,2019-12-11 20:15:00+00:00,"Officer dispatched to take a report of a recovered-stolen gray Northface backpack valued at $100.00 containing a black     coat valued at $100.00, dress shoes valued at $100.00, a gray sweatshirt valued at $100.00, and a pair of sunglasses       valued at $50.00.",NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR BOSTON,THEFT REPORT,12/11/19 2:00 PM - 8:00 PM
CLOSED,2019-07-27 05:15:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,COTTING HOUSE 50 N HARVARD ST ALLSTON,MOTOR VEHICLE ACCIDENT,7/27/19 5:15 AM - 5:30 AM
CLOSED,2019-07-05 18:14:00+00:00,"  Officer dispatched on the report that an individual was possibly following an individual and their young child.  Officers 
searched the area but could not locate the individual.",LEVERETT HOUSE A - MCKINLOCK H 8 MILL ST CAMBRIDGE,SUSPICIOUS ACTIVITY,7/5/19 6:00 PM - 6:25 PM
CLOSED,2019-05-30 05:24:00+00:00,"Officer dispatched to a report of an unwanted guest sitting on a bench in the area. Officer arrived and reported          
individual gone on arrival.",TAUBMAN CENTER 15 ELIOT ST CAMBRIDGE,UNWANTED GUEST,"5/30/19
5:24 AM"
CLOSED,2019-12-13 01:43:00+00:00,Officers dispatched to a report of  several individuals engaged in suspicious activity. Officers arrived and reported that the individuals were gone on arrival.,THAYER HALL NORTH 21 HARVARD YARD CAMBRIDGE,SUSPICIOUS ACTIVITY,12/13/19 1:43 AM
CLOSED,2019-05-06 09:17:00+00:00,Officer dispatched to take a report of a stolen Kent bicycle valued at $120.00 and a lock valued at $25.00.,FAS OFFICES 1414 MASSACHUSETTS AVE CAMBRIDGE,"ASSIST CPD - THEFT
REPORT","5/3/19 - 6:00 PM
5/6/19 - 8:30 AM"
CLOSED,2019-05-10 11:27:00+00:00,Officer dispatched to take a report of a suspicious postcard.,WIDENER LIBRARY 31 HARVARD YARD CAMBRIDGE,SUSPICIOUS ACTIVITY,"5/10/19
11:28 AM - 11:32 AM"
CLOSED,2020-04-24 23:22:00+00:00,Officers dispatched to a report of a noise complaint. Officers arrived and advised the occupants to keep the noise level   down.,PEABODY TERRACE 21 900 MEMORIAL DR CAMBRIDGE,NOISE COMPLAINT,4/24/20 11:22 PM
CLOSED,2020-03-19 17:58:00+00:00,"Officers dispatched to a complaint of several individuals riding their bicycles in the area. Officers arrived, located the individuals, and sent them on their way.",1 WESTERN AVE GARAGE 1 WESTERN AVE ALLSTON,SKATEBOARD/BIKE COMPLAINT,3/19/20 5:58 PM
CLOSED,2020-01-23 13:08:00+00:00,"Officers dispatched to a report of an unwanted guest with an active trespass warning for all Harvard University property   was in the building. Officers arrived, located the individual, and conducted a field interview. The individual was         re-issued a verbal trespass warning and sent on their way.",COUNTWAY LIBRARY 10 SHATTUCK ST BOSTON,TRESPASS WARNING,1/23/20 1:10 PM - 1:11 PM
CLOSED,2019-04-05 16:37:00+00:00,Officer dispatched to take a report of tagging/graffiti done to the side of the building.,253-269 WESTERN AVE 267 WESTERN AVE ALLSTON,VANDALISM,"4/5/19
4:30 PM - 4:50 PM"
CLOSED,2020-05-10 01:00:00+00:00,Officers dispatched to a report of a loud party. Officers arrived and reported that the occupants had dispersed and the    area was quiet.,ELIOT HOUSE B 101 DUNSTER ST CAMBRIDGE,LOUD PARTY,5/10/20 1:00 AM
CLOSED,2020-03-07 11:27:00+00:00,Officers dispatched to a report of an individual engaged in suspicious activity in the building. Officers arrived and      reported that the individual was gone on arrival.,SCIENCE CENTER 1 OXFORD ST CAMBRIDGE,SUSPICIOUS ACTIVITY,3/7/20 11:27 AM
CLOSED,2019-06-11 16:12:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries. Officer arrived and spoke to    the individual who stated while attempting to turn around they struck another a blue light pole. Officer reports the       vehicle and the pole sustained damage as well as the vehicle's reflectors.,125 WESTERN AVE LOTALLSTON,MOTOR VEHICLE ACCIDENT,6/11/19 4:07 PM - 4:22 PM
CLOSED,2019-07-21 14:13:00+00:00,"Officers dispatched to a report of an individual engaged in odd behavior in the area. Officers arrived, located the        individual, and reported that they were on public property.",HARVARD EXTENSION SCHOOL - 53 53 CHURCH ST CAMBRIDGE,SUSPICIOUS ACTIVITY,7/21/19 2:13 PM
CLOSED,2019-06-11 11:43:00+00:00,"Officer dispatched to take a report of a motor vehicle accident with no personal injuries. Officer arrived and spoke to   
the individual who stated while traveling too fast they struck another motor vehicle. Officer reports one vehicle         
sustained damage to its side and the second vehicle sustained damage to the rear bumper, trailer hitch, and tailgate.     
                                                                                                                          
Update 6/12/19: This incident has been reclassified from Motor Vehicle Accident to Assist Boston Police.",ROTTERDAM ST,ASSIST BOSTON POLICE       ,"6/11/19
11:45 AM"
CLOSED,2020-05-26 23:52:00+00:00,Officers dispatched to a report of a noise complaint. Officers arrived and advised the occupants to keep the noise level   down.,SOLDIERS FIELD PARK 13 111 WESTERN AVE ALLSTON,NOISE COMPLAINT,5/26/20 11:52 PM
CLOSED,2019-08-02 11:52:00+00:00,Officer dispatched to take a report of annoying telephone calls.,THAYER HALL NORTH 21 HARVARD YARD CAMBRIDGE,ANNOYING CALLS/TEXTS/EMAILS,7/25/19 - 3:00 PM 8/1/19 - 5:00 PM
CLOSED,2020-02-27 12:53:00+00:00,"Officer dispatched to a report of suspicious activity. Officer arrived and reported that the activity was the result of a  disagreement, but the issue was resolved and both parties went on their way without incident.",1033 MASS AVE REAR PARKING LOT 1033 MASSACHUSETTS AVE CAMBRIDGE,SUSPICIOUS ACTIVITY,2/27/20 12:55 PM - 1:20 PM
CLOSED,2019-05-03 06:16:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,114 WESTERN AVE LOT 114 WESTERN AVE ALLSTON,MOTOR VEHICLE ACCIDENT,"5/3/19
6:16 AM"
OPEN,2020-03-20 19:14:00+00:00,Officer dispatched to take a report of an attempted unlawful entry into a residence in the building.,STORY HALL 12 EVERETT ST CAMBRIDGE,THEFT REPORT,3/20/20 7:00 PM
CLOSED,2019-04-09 18:01:00+00:00,"Officer while on patrol reported a group of individuals vaping in the building. Officer reported that the individuals were
sent on their way without incident.",SMITH CAMPUS CENTER - COMMON S 1350 MASSACHUSETTS AVE CAMBRIDGE,UNWANTED GUEST,"4/9/19
6:01 PM"
CLOSED,2019-03-15 09:29:00+00:00,Officer dispatched to assist Cambridge Police and Fire with a street closure due to a gas leak in the area. Officer,HOLYOKE ST CAMBRIDGE,ASSIST CAMBRIDGE POLICE ,"3/15/19
9:29 AM"
CLOSED,2019-03-21 10:50:00+00:00,Officer dispatched to take a report of a suspicious incident.,SMITH CAMPUS CENTER - COMMON S 1350 MASSACHUSETTS AVE CAMBRIDGE,SUSPICIOUS ACTIVITY,"3/20/19 - 12:00 PM
3/21/19 - 6:00 AM"
CLOSED,2019-05-28 09:55:00+00:00,Officer dispatched to take a report of tagging/graffiti done to the side of the building.,184 EVERETT ST,VANDALISM                              ,"5/28/19
9:58 AM - 10:14 AM"
CLOSED,2019-06-10 13:03:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping in the courtyard. Officers arrived conducted a field        
interview and sent the individual on their way.",LEVERETT HOUSE TOWERS F 40 DEWOLFE ST CAMBRIDGE,FIELD INTERVIEW,"6/10/19
1:03 PM"
CLOSED,2019-09-14 23:12:00+00:00,Officer dispatched to take a report of an attempted unlawful breaking and entering into an apartment.,BOTANIC GARDENS C 20-28 FERNAL 20 FERNALD DR CAMBRIDGE,THEFT REPORT,9/14/19 11:10 PM - 11:11 PM
CLOSED,2019-06-25 15:39:00+00:00, ,ROSOVSKY HALL 52 MT AUBURN ST CAMBRIDGE,SUSPICIOUS MAIL/ PACKAGE/BAG,6/25/19 3:39 PM
CLOSED,2019-06-11 15:55:00+00:00,Officer dispatched to take a report of a suspicious letter.,MASSACHUSETTS HALL 11 HARVARD YARD CAMBRIDGE,SUSPICIOUS ACTIVITY,4/22/19 - 12:00 PM 6/11/19 - 4:00 PM
CLOSED,2019-10-10 07:51:00+00:00,"Officer dispatched to a report of an unwanted guest sleeping in the alleyway behind the building. Officer arrived, located the individual, and sent them on their way.",8 STORY STCAMBRIDGE,UNWANTED GUEST,10/10/19 7:51 AM
CLOSED,2019-08-24 00:53:00+00:00,Officer dispatched to take a report of suspicious activity.,GRAYS HALL MIDDLE 7 HARVARD YARD CAMBRIDGE,SUSPICIOUS ACTIVITY,8/24/19 0:53 AM
CLOSED,2020-01-30 23:23:00+00:00,Officers dispatched to a report of individuals engaged in suspicious activity in the area. Officers arrived and reported   that the individuals were gone on arrival.,WEEKS FOOTBRIDGE 1 MEMORIAL DR CAMBRIDGE,SUSPICIOUS ACTIVITY,1/30/20 11:23 PM
CLOSED,2019-08-22 23:15:00+00:00,Officer dispatched to take a report of stolen U.S. currency valued at $140.00.,CANADAY HALL A 22 HARVARD YARD CAMBRIDGE,THEFT REPORT,8/21/19 - 5:00 PM 8/22/19 - 11:15 PM
OPEN,2019-10-28 22:06:00+00:00,Officer dispatched to take a report of a stolen package containing Cliff protein bars valued at $900.00.,20 DEWOLFE STCAMBRIDGE,THEFT REPORT,10/28/19 4:00 PM - 10:00 PM
CLOSED,2019-08-22 15:27:00+00:00,Officer dispatched to take a report of stolen U.S. currency valued at $180.00 and a license.,CANADAY HALL A 22 HARVARD YARD CAMBRIDGE,THEFT REPORT,8/22/19 7:50 AM - 3:00 PM
CLOSED,2019-07-30 18:45:00+00:00,Officer dispatched to a report of an individual possibly engaged in suspicious activity. Officer arrived and reported that the individual was gone on arrival.,MCARTHUR HALL 47 HARVARD WAY ALLSTON,SUSPICIOUS ACTIVITY,7/30/19 6:00 PM - 7:15 PM
CLOSED,2019-10-08 01:48:00+00:00,Officer dispatched to a report of an individual engaged in suspicious activity near the bicycle rack. Officer arrived and  reported that all was in order.,WIGGLESWORTH HALL D 6 HARVARD YARD CAMBRIDGE,SUSPICIOUS ACTIVITY,10/8/19 1:48 AM
CLOSED,2020-05-25 15:29:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,KLARMAN LOT 113 WESTERN AVE ALLSTON,MOTOR VEHICLE ACCIDENT,5/25/20 3:15 PM - 3:25 PM
CLOSED,2019-06-29 16:55:00+00:00,Officer took a report of annoying emails.,HARVARD UNIVERSITY POLICE DEPA 1033 MASSACHUSETTS AVE CAMBRIDGE,ANNOYING CALLS/TEXTS/EMAILS,6/29/19 4:55 PM - 5:10 PM
CLOSED,2019-09-01 00:14:00+00:00,Officers dispatched to a report of the odor of marijuana. Officers arrived and reported no suspicious odor in the area.,LOWELL HOUSE 1201 MASSACHUSETTS AVE CAMBRIDGE,SUSPICIOUS ACTIVITY,9/1/19 0:14 AM
CLOSED,2019-10-11 13:36:00+00:00,"Officers dispatched to a report of an unwanted guest in the building. Officers arrived, located the individual, and        conducted a field interview. During the field interview, the individual was run for wants/warrants with negative results.  The individual was then issued a verbal trespass warning for all Harvard University property and sent on their way.",BIOLOGY LAB 16 DIVINITY AVE CAMBRIDGE,TRESPASS WARNING,10/11/19 1:15 PM - 1:36 PM
CLOSED,2019-10-03 11:21:00+00:00,Officers dispatched to a report of a group of unwanted guests loitering behind the building. Officers arrived and reported that the individuals were gone on arrival.,19 WARE STREET 19 WARE ST CAMBRIDGE,UNWANTED GUEST,10/3/19 11:21 AM
CLOSED,2020-05-07 21:57:00+00:00, ,HASTINGS HALL 1533 MASSACHUSETTS AVE CAMBRIDGE,TRESPASS WARNING,5/7/20 10:00 PM - 10:20 PM
CLOSED,2019-06-01 18:08:00+00:00,Officer dispatched to a report of an individual searching through a dumpster near the building. Officer arrived and        reported individual gone on arrival.,8-10 MOUNT AUBURN STREET 8 MT AUBURN ST CAMBRIDGE,UNWANTED GUEST,6/1/19 6:08 PM
CLOSED,2019-06-05 15:12:00+00:00,Officer dispatched to take a report of a damaged fence in the area.,VANDERBILT HALL LOT 107 AVE LOUIS PASTEUR BOSTON,PROPERTY DAMAGE,6/5/19 2:45 PM - 3:00 PM
CLOSED,2019-06-17 13:58:00+00:00,"Officer dispatched to a report of an unwanted guest in the building. Officer arrived, located the individual, and sent     them on their way.",SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,UNWANTED GUEST,6/17/19 1:58 PM
CLOSED,2020-03-17 14:39:00+00:00,Officer dispatched to a report of a noise complaint. Officer arrived and reported that the reporting person told them the  noise had stopped prior to officer's arrival.,TERRY TERRACE - 19 EVERETT 19 EVERETT ST CAMBRIDGE,NOISE COMPLAINT,3/17/20 2:39 PM
OPEN,2020-03-02 00:53:00+00:00,Officer dispatched to take a report of stolen unattended and unsecured U.S. currency valued at $60.00.,MATHER HOUSE A 93 BANKS ST CAMBRIDGE,THEFT REPORT,2/29/20 - 11:00 PM 3/1/20 - 5:28 AM
OPEN,2020-05-05 12:35:00+00:00,"Officer took a report of a stolen red Cannondale Synapse bicycle valued at $400.00. The reporting individual informed the  officer that their bicycle was secured to a bike rack with a U-lock valued at $30.00, which was also stolen.",MATHER HOUSE TOWER 93 BANKS ST CAMBRIDGE,THEFT REPORT,5/3/20 - 2:00 PM 5/5/20 - 7:30 AM
CLOSED,2020-05-07 18:47:00+00:00,"Officer dispatched to a group of individuals engaged in suspicious activity in the area. Officer arrived, located the      individuals, and reported that all was well.",CARPENTER CENTER 24 QUINCY ST CAMBRIDGE,SUSPICIOUS ACTIVITY,5/7/20 6:47 PM
OPEN,2019-10-05 16:56:00+00:00,"Officer dispatched to take a report of a stolen brown Raleigh bicycle valued at $120.00. The reporting individual informed the officer that their bicycle was secured to a bike rack with a U-lock valued at $120.00, which was also stolen.",SPANGLER CENTER 117 WESTERN AVE ALLSTON,THEFT REPORT,10/4/19 - 2:00 PM 10/5/19 - 10:15 AM
OPEN,2019-12-20 13:52:00+00:00,"Officers dispatched to a report of an individual previously engaged in suspicious activity. Officers arrived, searched the area, and reported that the individual was gone on arrival.",GUND HALL 48 QUINCY ST CAMBRIDGE,SUSPICIOUS ACTIVITY,12/20/19 1:40 PM - 2:10 PM
OPEN,2019-06-10 13:31:00+00:00,"Officer dispatched to take a report of a stolen unattended and unsecured package containing a mobile laptop desk cart     
valued at $42.00.",PEABODY TERRACE 24 900 MEMORIAL DR CAMBRIDGE,THEFT REPORT,"6/5/19 - 6:31 PM
6/8/19 - 1:00 PM"
CLOSED,2019-04-03 20:11:00+00:00,"Officer dispatched to a report of the smell of cigarette smoke in the building. Officer arrived and reported no smell of  
cigarette smoke. Officer advised the reporting party to continue to pursue the issue with the building manager.",5 COWPERTHWAITE STREET 5 COWPERTHWAITE ST CAMBRIDGE,SUSPICIOUS ODOR/SMOKE,"4/3/19
7:45 PM - 8:30 PM"
OPEN,2020-03-09 12:37:00+00:00,"Officer dispatched to take a report of a stolen blue Cannondale Quick 8 bicycle valued at $475.00.The reporting individual informed the officer that their bicycle was placed in the bike cage, but not secured.",VANDERBILT HALL 107 AVE LOUIS PASTEUR BOSTON,THEFT REPORT,2/26/20 - 4:30 PM 3/9/20 - 8:00 AM
CLOSED,2019-06-10 22:12:00+00:00,"Officer dispatched on the report of the smell of smoke.  Officer arrived and discovered a small mulch fire.  Boston Fire  
extinguished the fire.",TOSTESON MEC 260 LONGWOOD AVE BOSTON,FIRE,"6/10/19
10:10 PM - 10:25 PM"
CLOSED,2019-11-15 21:15:00+00:00,Officer dispatched to a report of the odor of marijuana inside of the building. Officer arrived and reported that no,PEABODY TERRACE 11 900 MEMORIAL DR CAMBRIDGE,SUSPICIOUS ACTIVITY,11/15/19 9:00 PM - 10:00 PM
CLOSED,2019-06-01 14:52:00+00:00,Officer dispatched to take a report of stolen U.S. currency valued at $60.00.,HEMENWAY GYMNASIUM H 1515 MASSACHUSETTS AVE CAMBRIDGE,THEFT REPORT,6/1/19 12:15 PM - 12:30 PM
CLOSED,2019-09-28 11:30:00+00:00,"Officer dispatched to take a report of a stolen Arkel pannier backpack valued at $200.00, bicycle pump valued at $50.00,   U-lock valued at $40.00 and various hand tools valued at $25.00.",HARVARD EXTENSION SCHOOL LOT - 51 BRATTLE ST CAMBRIDGE,THEFT REPORT,9/27/18 - 9:00 AM 9/28/19 - 11:00 AM
CLOSED,2019-11-18 13:21:00+00:00,Officers dispatched to a report of a fire. Officers arrived and observed a small fire under a metal grate adjacent to the  building. Officers reported that Cambridge Fire was requested and arrived to the scene. Officers reported that the fire    may have ignited when a lit cigarette was tossed on dry leaves near the grate. Officers reported that the fire was         extinguished by Cambridge Fire and that the area was deemed safe shortly thereafter.,QUINCY HOUSE B - MATHER HALL 58 PLYMPTON ST CAMBRIDGE,FIRE,11/18/19 1:20 PM - 1:45 PM
CLOSED,2020-05-29 08:14:00+00:00,"Officers dispatched to a report of two individuals sleeping in the alleyway near the building. Officers arrived, located   the individuals, and sent them on their way.",8 STORY STCAMBRIDGE,UNWANTED GUEST,5/29/20 8:14 AM
CLOSED,2019-08-13 06:01:00+00:00,"Officers dispatched to a report of several unwanted guests near the entrance of the building. Officers arrived, located    the individuals, and sent them on their way.",8 STORY STCAMBRIDGE,UNWANTED GUEST,8/13/19 6:01 AM
CLOSED,2019-06-08 11:20:00+00:00,Officer dispatched to assist Boston Police with a transport.,175 N HARVARD ST,ASSIST BOSTON POLICE       ,"6/8/19
10:15 AM - 12:30 PM"
CLOSED,2020-01-06 07:52:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping in the alleyway behind the building. Officers arrived,       located the individual, and sent them on their way.",8 STORY STCAMBRIDGE,UNWANTED GUEST,1/6/20 7:52 AM
CLOSED,2019-03-15 10:41:00+00:00,"Officers while on patrol received a report that a large demonstration group was making their way towards Harvard Yard.    
Officers reported that the group traveled through the area without incident.",HARVARD YARD 1 PEABODY ST CAMBRIDGE,DEMONSTRATION,"3/15/19
10:50 AM - 11:00 AM"
OPEN,2020-04-01 16:03:00+00:00,Officer took a report of stolen groceries valued at $150.00 from the lobby of the building.,1 WESTERN AVEALLSTON,THEFT REPORT,3/20/20 6:35 PM - 9:30 PM
CLOSED,2019-07-23 05:22:00+00:00,"Officers dispatched to a report of an individual who may not have authorization to be in the building. Officers arrived,   located the individual, and reported that they did indeed have authorization to be in the building.",LANGDELL HALL 1545 MASSACHUSETTS AVE CAMBRIDGE,SUSPICIOUS ACTIVITY,7/23/19 5:22 AM
CLOSED,2019-07-17 09:09:00+00:00,Officers dispatched to a report of an unsecured door in the building. Officers arrived and reported that the door was      likely opened by a staff member and that there was no sign of forced entry into the building.,253-269 WESTERN AVE 267 WESTERN AVE ALLSTON,SUSPICIOUS ACTIVITY,7/17/19 9:09 AM
CLOSED,2019-11-29 11:47:00+00:00,Officers dispatched to a report of smoke coming from the building. Officers arrived and reported that Cambridge Fire was   on scene and in the process of entering the building. Officers reported that the immediate area surrounding the building   was cordoned off and that members of Environmental Health and Safety arrived to the scene shortly thereafter. Officers     reported that the fire was eventually extinguished by Cambridge Fire and that units cleared the area.,EMERSON HALL 26 HARVARD YARD CAMBRIDGE,FIRE,11/29/19 11:40 AM - 2:00 PM
OPEN,2019-07-15 18:51:00+00:00,"Officers dispatched to a report of an individual in the restroom for an extended period of time. Officers arrived and     
reported that the individual was gone on arrival.","HOLMES HALL, HLS 18 EVERETT ST CAMBRIDGE",UNWANTED GUEST,"7/15/19
6:40 PM - 7:15 PM"
CLOSED,2019-04-18 13:23:00+00:00,"Officers dispatched to a report of an unwanted guest in the building. Officers arrived, located the individual, and       
conducted a field interview. The individual was then issued a verbal trespass warning for Wasserstein Hall and sent on    
their way.",WASSERSTEIN HALL 1585 MASSACHUSETTS AVE CAMBRIDGE,TRESPASS WARNING,"4/18/19
1:00 PM - 2:00 PM"
OPEN,2019-10-31 11:08:00+00:00,Officer dispatched to take a report of an unlawful entry into an apartment.,PEABODY TERRACE 15 900 MEMORIAL DR CAMBRIDGE,THEFT REPORT,10/28/19 - 5:00 PM 10/30/19 - 8:00 AM
CLOSED,2019-08-14 10:09:00+00:00,Officer while on patrol assisted Cambridge Police with performing an arrest.,MT AUBURN ST / DUNSTER ST,ASSIST CAMBRIDGE POLICE,8/14/19 10:00 AM - 11:00 AM
CLOSED,2020-02-10 17:31:00+00:00,Officer dispatched to a report of smoke or steam coming from a trashcan in the area. Officer arrived on scene and reported that there was no sign of smoke or fire.,124 MT AUBURN STCAMBRIDGE,SUSPICIOUS ODOR/SMOKE,2/10/20 5:31 PM
CLOSED,2019-06-09 15:01:00+00:00,Officers dispatched on the report of an individual causing a disturbance by yelling and threatening to hit persons.  The   officers were able to calm down the individual who was sent on their way.,ATHLETICS - STADIUM 79 N HARVARD ST ALLSTON,DISTURBANCE,6/9/19 2:45 PM - 4:40 PM
CLOSED,2019-06-16 10:34:00+00:00,Officer dispatched to take a report of vandalism done to a window of the building.,176 LINCOLN STALLSTON,VANDALISM,6/15/19 - 11:00 PM 6/16/19 - 10:40 AM
OPEN,2020-06-02 20:31:00+00:00,Officer initiated an investigation into a past sexual assault.,HARVARD UNIVERSITYCAMBRIDGE,INDECENT ASSAULT,6/2/20 8:31 PM
CLOSED,2019-06-30 23:52:00+00:00,Officer dispatched to a report of a road closure sign in the middle of the street. Officer arrived and contacted Cambridge Police who reported that there were no road closures in the area. The officer then removed the sign from the street to     prevent it from obstructing traffic.,MASSACHUSETTS AVE / LINDEN STCAMBRIDGE,ASSIST CAMBRIDGE POLICE,6/30/19 11:52 PM
CLOSED,2019-06-16 10:34:00+00:00,Officer dispatched to take a report of vandalism done to a window of the building.,176 LINCOLN STALLSTON,VANDALISM,6/15/19 - 11:00 PM 6/16/19 - 10:40 AM
ARREST,2019-08-16 13:32:00+00:00,"Officer while on patrol received a report that an individual had been in the restroom for an extended amount of time.      Officer arrived, located the individual, and conducted a field interview. During the field interview, the individual was   run for wants/warrants with positive results for an active warrant and also positive results for an active trespass        warning for all Harvard University property. The individual was then placed under arrest for Trespassing and Warrant       Service. Shortly thereafter, the individual was transported to the Harvard University Police Department for booking and    re-issued a verbal trespass warning for all Harvard University property.                                                                                                                                                                              Name: Nolin, Paula                                                                                                         Age: 42                                                                                                                    Address: Homeless                                                                                                          Charge(s):  Trespassing                                                                                                    Warrant Service",SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,TRESPASSING,8/16/19 1:28 PM - 2:10 PM
OPEN,2019-08-24 21:53:00+00:00,Officer dispatched to take a report of a recovered stolen black Citizens watch valued at $400.00.,GRISWOLD HALL 1525 MASSACHUSETTS AVE CAMBRIDGE,THEFT REPORT,8/24/19 5:30 PM - 9:45 PM
CLOSED,2019-10-07 13:05:00+00:00,"Officers dispatched to a report of two individuals engaged in suspicious activity near the bicycle cage. Officers arrived, located the individuals a short distance away, and conducted a field interview. During the field interview, the            individuals were run for wants/warrants with negative results but did show positive results for active trespass warnings   for all Harvard University property. Officers then spoke to the reporting party who stated that they had previously        observed the individuals pulling on the doors to the bicycle cage. The individuals were then reminded of their trespass    warning for all Harvard University property and sent on their way.",LITTAUER HKS 79 JFK ST CAMBRIDGE,THEFT REPORT,10/7/19 1:00 PM - 1:11 PM
CLOSED,2019-06-10 14:29:00+00:00,Officer dispatched to a report of an unwanted guest. Officers arrived and report the individual is gone on arrival.,HARVARD INSTITUTE OF MEDICINE 4 BLACKFAN CIR BOSTON,UNWANTED GUEST,6/7/19 - 7:06 AM 6/10/19 - 12:00 PM
OPEN,2019-11-15 09:57:00+00:00,Officer took a report of harassment.,GREENOUGH HALL NORTH 10 PRESCOTT ST CAMBRIDGE,HARASSMENT,10/13/19 - 6:00 PM 10/15/19 - 10:25 AM
CLOSED,2019-09-28 11:27:00+00:00,Officers dispatched to a report of an individual engaged in suspicious activity. Officers arrived and reported that the    individual was gone on arrival.,1 WESTERN AVECAMBRIDGE,SUSPICIOUS ACTIVITY,9/28/19 11:27 AM
CLOSED,2019-04-28 16:59:00+00:00,"Officer dispatched to a report of three juveniles who had stolen tools from the construction site. While on route, officer
reported that Boston Police had stopped the individuals in the immediate area and were in the process of escorting them",ATHLETICS - STADIUM 79 N HARVARD ST ALLSTON,THEFT REPORT,"4/28/19
4:57 PM - 6:12 PM"
CLOSED,2019-07-15 16:15:00+00:00,"Officer dispatched to take a report of a stolen Nikon camera valued at $1,200.00 and a Sigma camera lens valued at         1,000.00.",DENTAL SCHOOL 188 LONGWOOD AVE BOSTON,THEFT REPORT,7/10/19 - 5:00 PM 7/15/19 - 8:00 AM
CLOSED,2019-06-07 12:25:00+00:00,Officer dispatched to take a report of stolen credit/debit cards.,CABOT SCIENCE LIBRARY 1 OXFORD ST CAMBRIDGE,THEFT REPORT,5/25/19 - 9:00 PM 5/26/19 - 12:00 PM
CLOSED,2019-07-21 15:30:00+00:00,"Officers dispatched to a report of an unwanted guest causing a disturbance by yelling in the building. Officers arrived,  
located the individual, and conducted a field interview. During the field interview, the individual refused to provide    
identifying information and engaged in uncooperative behavior. The individual was then issued a verbal trespass warning   
for all Harvard University property and sent on their way.",SCIENCE CENTER 1 OXFORD ST CAMBRIDGE,TRESPASS WARNING,"7/21/19
3:00 PM - 4:00 PM"
CLOSED,2019-04-13 22:47:00+00:00,"Officer dispatched to a report of a possibly intoxicated individual who had piggybacked into the building. Officer arrived
and reported individual gone on arrival.",ADAMS HOUSE C - RUSSELL HALL 26 PLYMPTON ST CAMBRIDGE,SUSPICIOUS ACTIVITY,"4/13/19
10:47 PM"
CLOSED,2019-08-29 12:56:00+00:00,Officer dispatched to take a report of a stolen rear bicycle tire valued at $50.00.,CURRIER HOUSE A - BINGHAM HALL 64 LINNAEAN ST CAMBRIDGE,THEFT REPORT,8/28/19 - 7:00 PM 8/29/19 - 9:00 AM
CLOSED,2019-06-26 19:40:00+00:00,Officer received a report of a bicycle theft. Officer reported that the theft occurred on Boston property and that Boston  Police was notified of the incident.,NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR BOSTON,ASSIST BPD - THEFT REPORT,6/26/19 7:40 PM
CLOSED,2019-05-28 07:59:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping in the building. Officers arrived, located the individual,  
and conducted a field interview. The individual was then sent on their way.",SCIENCE CENTER 1 OXFORD ST CAMBRIDGE,FIELD INTERVIEW,"5/28/19
7:59 AM"
CLOSED,2019-04-14 18:43:00+00:00,"Officer dispatched to a report of individuals skateboarding in the area. Officer arrived, located the individuals, and    
sent them on their way.",ATHLETICS - MURR CENTER 65 N HARVARD ST ALLSTON,"SKATEBOARD/BIKE
COMPLAINT","4/14/19
6:43 PM"
CLOSED,2020-03-11 22:33:00+00:00,Officers notified by CPD and dispatched to a report of a noise complaint. Officers arrived and sent a group on their way.,LOWELL HOUSE A 10 HOLYOKE PL CAMBRIDGE,ASSIST CAMBRIDGE POLICE,3/11/20 10:33 PM
CLOSED,2019-04-02 15:01:00+00:00,Officer dispatched to take a report of several stolen packages containing clothing and toiletries valued at $138.00.,PEABODY TERRACE 31 900 MEMORIAL DR CAMBRIDGE,THEFT REPORT,"4/1/19
3:24 PM - 10:00 PM"
